Epoch [1/15],  U_d: -0.0818,  U_a: -1.0015,  test accuracy: 0.6790,  forget accuracy: 0.9946,  retain accuracy: 0.9967,  att accuracy: 0.4992,  MIA accuracy: 0.6998,  MIA auc: 0.7560,  MIA recall: 0.9370, 
Epoch [2/15],  U_d: -0.7248,  U_a: -1.0138,  test accuracy: 0.5890,  forget accuracy: 0.8180,  retain accuracy: 0.8872,  att accuracy: 0.4930,  MIA accuracy: 0.6118,  MIA auc: 0.6475,  MIA recall: 0.7402, 
Epoch [3/15],  U_d: -0.3746,  U_a: -1.0040,  test accuracy: 0.5838,  forget accuracy: 0.7690,  retain accuracy: 0.8792,  att accuracy: 0.4979,  MIA accuracy: 0.5896,  MIA auc: 0.6213,  MIA recall: 0.6776, 
Epoch [4/15],  U_d: -0.3048,  U_a: -0.9864,  test accuracy: 0.5954,  forget accuracy: 0.7804,  retain accuracy: 0.9082,  att accuracy: 0.5067,  MIA accuracy: 0.5653,  MIA auc: 0.5962,  MIA recall: 0.6490, 
Epoch [5/15],  U_d: -0.1553,  U_a: -1.0012,  test accuracy: 0.6158,  forget accuracy: 0.7952,  retain accuracy: 0.9346,  att accuracy: 0.4993,  MIA accuracy: 0.5835,  MIA auc: 0.6035,  MIA recall: 0.6888, 
Epoch [6/15],  U_d: -0.2754,  U_a: -1.0018,  test accuracy: 0.6212,  forget accuracy: 0.7956,  retain accuracy: 0.9473,  att accuracy: 0.4990,  MIA accuracy: 0.5764,  MIA auc: 0.6006,  MIA recall: 0.6910, 
Epoch [7/15],  U_d: -0.0424,  U_a: -0.9942,  test accuracy: 0.6114,  forget accuracy: 0.7786,  retain accuracy: 0.9447,  att accuracy: 0.5028,  MIA accuracy: 0.5634,  MIA auc: 0.5896,  MIA recall: 0.6800, 
Epoch [8/15],  U_d: -0.0770,  U_a: -0.9946,  test accuracy: 0.6220,  forget accuracy: 0.7900,  retain accuracy: 0.9599,  att accuracy: 0.5026,  MIA accuracy: 0.5719,  MIA auc: 0.6035,  MIA recall: 0.6844, 
Epoch [9/15],  U_d: -0.1142,  U_a: -1.0012,  test accuracy: 0.6206,  forget accuracy: 0.7890,  retain accuracy: 0.9597,  att accuracy: 0.4993,  MIA accuracy: 0.5697,  MIA auc: 0.5950,  MIA recall: 0.6738, 
Epoch [10/15],  U_d: -0.0309,  U_a: -0.9976,  test accuracy: 0.6140,  forget accuracy: 0.7734,  retain accuracy: 0.9507,  att accuracy: 0.5011,  MIA accuracy: 0.5603,  MIA auc: 0.5890,  MIA recall: 0.6730, 
Epoch [11/15],  U_d: -0.0709,  U_a: -0.9902,  test accuracy: 0.6194,  forget accuracy: 0.7724,  retain accuracy: 0.9565,  att accuracy: 0.5048,  MIA accuracy: 0.5632,  MIA auc: 0.5888,  MIA recall: 0.6660, 
Epoch [12/15],  U_d: -0.0243,  U_a: -0.9976,  test accuracy: 0.6070,  forget accuracy: 0.7566,  retain accuracy: 0.9380,  att accuracy: 0.5011,  MIA accuracy: 0.5692,  MIA auc: 0.5958,  MIA recall: 0.6632, 
Epoch [13/15],  U_d: -0.0916,  U_a: -1.0058,  test accuracy: 0.6100,  forget accuracy: 0.7514,  retain accuracy: 0.9368,  att accuracy: 0.4970,  MIA accuracy: 0.5671,  MIA auc: 0.5945,  MIA recall: 0.6494, 
Epoch [14/15],  U_d: -0.1854,  U_a: -0.9904,  test accuracy: 0.5952,  forget accuracy: 0.7282,  retain accuracy: 0.9222,  att accuracy: 0.5047,  MIA accuracy: 0.5485,  MIA auc: 0.5746,  MIA recall: 0.6302, 
