Epoch [1/60],  U_d: -0.0497,  U_a: -0.9967,  test accuracy: 0.6790,  forget accuracy: 0.9968,  retain accuracy: 0.9970,  att accuracy: 0.5016,  MIA accuracy: 0.7112,  MIA auc: 0.7578,  MIA recall: 0.9330, 
Epoch [2/60],  U_d: -0.4660,  U_a: -1.0126,  test accuracy: 0.5720,  forget accuracy: 0.7922,  retain accuracy: 0.8620,  att accuracy: 0.4936,  MIA accuracy: 0.6045,  MIA auc: 0.6326,  MIA recall: 0.7386, 
Epoch [3/60],  U_d: -0.2388,  U_a: -1.0010,  test accuracy: 0.5868,  forget accuracy: 0.7788,  retain accuracy: 0.8812,  att accuracy: 0.4994,  MIA accuracy: 0.5836,  MIA auc: 0.6168,  MIA recall: 0.6720, 
Epoch [4/60],  U_d: -0.3383,  U_a: -1.0030,  test accuracy: 0.6012,  forget accuracy: 0.7620,  retain accuracy: 0.8965,  att accuracy: 0.4984,  MIA accuracy: 0.5632,  MIA auc: 0.5951,  MIA recall: 0.6278, 
Epoch [5/60],  U_d: -0.2154,  U_a: -1.0008,  test accuracy: 0.6058,  forget accuracy: 0.7740,  retain accuracy: 0.9134,  att accuracy: 0.4995,  MIA accuracy: 0.5714,  MIA auc: 0.5967,  MIA recall: 0.6706, 
Epoch [6/60],  U_d: -0.2881,  U_a: -0.9950,  test accuracy: 0.6224,  forget accuracy: 0.7922,  retain accuracy: 0.9474,  att accuracy: 0.5024,  MIA accuracy: 0.5772,  MIA auc: 0.6046,  MIA recall: 0.6936, 
Epoch [7/60],  U_d: -0.1336,  U_a: -0.9862,  test accuracy: 0.6080,  forget accuracy: 0.7702,  retain accuracy: 0.9368,  att accuracy: 0.5068,  MIA accuracy: 0.5666,  MIA auc: 0.5934,  MIA recall: 0.6772, 
Epoch [8/60],  U_d: -0.0560,  U_a: -1.0056,  test accuracy: 0.6170,  forget accuracy: 0.7772,  retain accuracy: 0.9501,  att accuracy: 0.4971,  MIA accuracy: 0.5705,  MIA auc: 0.5967,  MIA recall: 0.6766, 
Epoch [9/60],  U_d: -0.0525,  U_a: -0.9998,  test accuracy: 0.6184,  forget accuracy: 0.7830,  retain accuracy: 0.9568,  att accuracy: 0.5000,  MIA accuracy: 0.5770,  MIA auc: 0.5984,  MIA recall: 0.6850, 
Epoch [10/60],  U_d: -0.0637,  U_a: -0.9902,  test accuracy: 0.6084,  forget accuracy: 0.7624,  retain accuracy: 0.9408,  att accuracy: 0.5048,  MIA accuracy: 0.5662,  MIA auc: 0.5883,  MIA recall: 0.6734, 
Epoch [11/60],  U_d: -0.0575,  U_a: -1.0118,  test accuracy: 0.6004,  forget accuracy: 0.7412,  retain accuracy: 0.9275,  att accuracy: 0.4940,  MIA accuracy: 0.5512,  MIA auc: 0.5722,  MIA recall: 0.6514, 
Epoch [12/60],  U_d: -0.0518,  U_a: -1.0074,  test accuracy: 0.6020,  forget accuracy: 0.7348,  retain accuracy: 0.9270,  att accuracy: 0.4962,  MIA accuracy: 0.5595,  MIA auc: 0.5781,  MIA recall: 0.6510, 
Epoch [13/60],  U_d: -0.0544,  U_a: -1.0028,  test accuracy: 0.6102,  forget accuracy: 0.7494,  retain accuracy: 0.9424,  att accuracy: 0.4985,  MIA accuracy: 0.5573,  MIA auc: 0.5838,  MIA recall: 0.6406, 
Epoch [14/60],  U_d: -0.0896,  U_a: -0.9906,  test accuracy: 0.5992,  forget accuracy: 0.7438,  retain accuracy: 0.9399,  att accuracy: 0.5046,  MIA accuracy: 0.5519,  MIA auc: 0.5735,  MIA recall: 0.6444, 
Epoch [15/60],  U_d: -0.1421,  U_a: -1.0156,  test accuracy: 0.5958,  forget accuracy: 0.7222,  retain accuracy: 0.9277,  att accuracy: 0.4921,  MIA accuracy: 0.5477,  MIA auc: 0.5716,  MIA recall: 0.6326, 
Epoch [16/60],  U_d: -0.1495,  U_a: -1.0034,  test accuracy: 0.5862,  forget accuracy: 0.7102,  retain accuracy: 0.9259,  att accuracy: 0.4982,  MIA accuracy: 0.5450,  MIA auc: 0.5656,  MIA recall: 0.6306, 
Epoch [17/60],  U_d: -0.1273,  U_a: -0.9890,  test accuracy: 0.5830,  forget accuracy: 0.6906,  retain accuracy: 0.9191,  att accuracy: 0.5054,  MIA accuracy: 0.5432,  MIA auc: 0.5615,  MIA recall: 0.6154, 
Epoch [18/60],  U_d: -0.1053,  U_a: -0.9916,  test accuracy: 0.5776,  forget accuracy: 0.6880,  retain accuracy: 0.9136,  att accuracy: 0.5041,  MIA accuracy: 0.5447,  MIA auc: 0.5643,  MIA recall: 0.6156, 
