Epoch [1/60],  U_d: -0.0144,  U_a: -0.9943,  test accuracy: 0.6826,  forget accuracy: 0.9960,  retain accuracy: 0.9973,  att accuracy: 0.5028,  MIA accuracy: 0.7099,  MIA auc: 0.7569,  MIA recall: 0.9380, 
Epoch [2/60],  U_d: -0.8364,  U_a: -0.9982,  test accuracy: 0.6000,  forget accuracy: 0.8448,  retain accuracy: 0.9075,  att accuracy: 0.5008,  MIA accuracy: 0.6116,  MIA auc: 0.6474,  MIA recall: 0.7480, 
Epoch [3/60],  U_d: -0.2864,  U_a: -0.9938,  test accuracy: 0.5954,  forget accuracy: 0.7926,  retain accuracy: 0.9032,  att accuracy: 0.5030,  MIA accuracy: 0.5922,  MIA auc: 0.6235,  MIA recall: 0.6812, 
Epoch [4/60],  U_d: -0.3210,  U_a: -0.9940,  test accuracy: 0.5936,  forget accuracy: 0.7546,  retain accuracy: 0.8943,  att accuracy: 0.5029,  MIA accuracy: 0.5726,  MIA auc: 0.6049,  MIA recall: 0.6442, 
Epoch [5/60],  U_d: -0.2053,  U_a: -0.9916,  test accuracy: 0.5966,  forget accuracy: 0.7526,  retain accuracy: 0.9018,  att accuracy: 0.5041,  MIA accuracy: 0.5741,  MIA auc: 0.6073,  MIA recall: 0.6504, 
Epoch [6/60],  U_d: -0.2076,  U_a: -1.0008,  test accuracy: 0.6212,  forget accuracy: 0.7904,  retain accuracy: 0.9426,  att accuracy: 0.4995,  MIA accuracy: 0.5837,  MIA auc: 0.6222,  MIA recall: 0.6946, 
Epoch [7/60],  U_d: -0.1908,  U_a: -1.0024,  test accuracy: 0.6310,  forget accuracy: 0.7964,  retain accuracy: 0.9630,  att accuracy: 0.4987,  MIA accuracy: 0.5770,  MIA auc: 0.6088,  MIA recall: 0.6940, 
Epoch [8/60],  U_d: -0.1619,  U_a: -1.0092,  test accuracy: 0.6208,  forget accuracy: 0.7718,  retain accuracy: 0.9498,  att accuracy: 0.4953,  MIA accuracy: 0.5667,  MIA auc: 0.5960,  MIA recall: 0.6688, 
Epoch [9/60],  U_d: -0.0405,  U_a: -1.0106,  test accuracy: 0.6292,  forget accuracy: 0.7788,  retain accuracy: 0.9566,  att accuracy: 0.4946,  MIA accuracy: 0.5751,  MIA auc: 0.6054,  MIA recall: 0.6902, 
Epoch [10/60],  U_d: -0.0948,  U_a: -0.9942,  test accuracy: 0.6188,  forget accuracy: 0.7700,  retain accuracy: 0.9495,  att accuracy: 0.5028,  MIA accuracy: 0.5694,  MIA auc: 0.6015,  MIA recall: 0.6664, 
Epoch [11/60],  U_d: -0.0365,  U_a: -1.0056,  test accuracy: 0.6176,  forget accuracy: 0.7594,  retain accuracy: 0.9405,  att accuracy: 0.4971,  MIA accuracy: 0.5689,  MIA auc: 0.5989,  MIA recall: 0.6622, 
