Epoch [1/30],  U_d: -0.0310,  U_a: -1.0097,  test accuracy: 0.6716,  forget accuracy: 0.9938,  retain accuracy: 0.9980,  att accuracy: 0.4951,  MIA accuracy: 0.7046,  MIA auc: 0.7478,  MIA recall: 0.9320, 
Epoch [2/30],  U_d: -0.6541,  U_a: -0.9908,  test accuracy: 0.5830,  forget accuracy: 0.8216,  retain accuracy: 0.8918,  att accuracy: 0.5045,  MIA accuracy: 0.6074,  MIA auc: 0.6462,  MIA recall: 0.7230, 
Epoch [3/30],  U_d: -0.2894,  U_a: -0.9976,  test accuracy: 0.5734,  forget accuracy: 0.7770,  retain accuracy: 0.8924,  att accuracy: 0.5011,  MIA accuracy: 0.5809,  MIA auc: 0.6054,  MIA recall: 0.6572, 
Epoch [4/30],  U_d: -0.3387,  U_a: -1.0014,  test accuracy: 0.5906,  forget accuracy: 0.7752,  retain accuracy: 0.9046,  att accuracy: 0.4992,  MIA accuracy: 0.5681,  MIA auc: 0.5984,  MIA recall: 0.6526, 
Epoch [5/30],  U_d: -0.3851,  U_a: -1.0038,  test accuracy: 0.5944,  forget accuracy: 0.7468,  retain accuracy: 0.9042,  att accuracy: 0.4980,  MIA accuracy: 0.5699,  MIA auc: 0.5931,  MIA recall: 0.6612, 
Epoch [6/30],  U_d: -0.1175,  U_a: -1.0000,  test accuracy: 0.6116,  forget accuracy: 0.8018,  retain accuracy: 0.9534,  att accuracy: 0.4999,  MIA accuracy: 0.5756,  MIA auc: 0.5962,  MIA recall: 0.6954, 
Epoch [7/30],  U_d: -0.2593,  U_a: -1.0008,  test accuracy: 0.6168,  forget accuracy: 0.7960,  retain accuracy: 0.9563,  att accuracy: 0.4995,  MIA accuracy: 0.5702,  MIA auc: 0.5991,  MIA recall: 0.6910, 
Epoch [8/30],  U_d: -0.0530,  U_a: -1.0066,  test accuracy: 0.6212,  forget accuracy: 0.8032,  retain accuracy: 0.9660,  att accuracy: 0.4966,  MIA accuracy: 0.5752,  MIA auc: 0.6045,  MIA recall: 0.6848, 
Epoch [9/30],  U_d: -0.0589,  U_a: -0.9956,  test accuracy: 0.6098,  forget accuracy: 0.7856,  retain accuracy: 0.9636,  att accuracy: 0.5021,  MIA accuracy: 0.5741,  MIA auc: 0.5999,  MIA recall: 0.6808, 
Epoch [10/30],  U_d: -0.0268,  U_a: -0.9920,  test accuracy: 0.6064,  forget accuracy: 0.7646,  retain accuracy: 0.9438,  att accuracy: 0.5039,  MIA accuracy: 0.5671,  MIA auc: 0.5947,  MIA recall: 0.6742, 
Epoch [11/30],  U_d: -0.1517,  U_a: -1.0190,  test accuracy: 0.6126,  forget accuracy: 0.7752,  retain accuracy: 0.9538,  att accuracy: 0.4904,  MIA accuracy: 0.5694,  MIA auc: 0.5921,  MIA recall: 0.6650, 
Epoch [12/30],  U_d: -0.2351,  U_a: -1.0034,  test accuracy: 0.5964,  forget accuracy: 0.7570,  retain accuracy: 0.9449,  att accuracy: 0.4982,  MIA accuracy: 0.5552,  MIA auc: 0.5821,  MIA recall: 0.6604, 
Epoch [13/30],  U_d: -0.1454,  U_a: -0.9998,  test accuracy: 0.5952,  forget accuracy: 0.7350,  retain accuracy: 0.9359,  att accuracy: 0.5000,  MIA accuracy: 0.5512,  MIA auc: 0.5703,  MIA recall: 0.6474, 
Epoch [14/30],  U_d: -0.0539,  U_a: -0.9986,  test accuracy: 0.5972,  forget accuracy: 0.7324,  retain accuracy: 0.9323,  att accuracy: 0.5006,  MIA accuracy: 0.5583,  MIA auc: 0.5771,  MIA recall: 0.6460, 
Epoch [15/30],  U_d: -0.1926,  U_a: -1.0050,  test accuracy: 0.5950,  forget accuracy: 0.7286,  retain accuracy: 0.9385,  att accuracy: 0.4974,  MIA accuracy: 0.5460,  MIA auc: 0.5713,  MIA recall: 0.6274, 
Epoch [16/30],  U_d: -0.1454,  U_a: -1.0042,  test accuracy: 0.5850,  forget accuracy: 0.7046,  retain accuracy: 0.9235,  att accuracy: 0.4978,  MIA accuracy: 0.5418,  MIA auc: 0.5627,  MIA recall: 0.6108, 
Epoch [17/30],  U_d: -0.1327,  U_a: -1.0032,  test accuracy: 0.5760,  forget accuracy: 0.6892,  retain accuracy: 0.9150,  att accuracy: 0.4983,  MIA accuracy: 0.5486,  MIA auc: 0.5658,  MIA recall: 0.6176, 
Epoch [18/30],  U_d: -0.0503,  U_a: -0.9834,  test accuracy: 0.5834,  forget accuracy: 0.6944,  retain accuracy: 0.9269,  att accuracy: 0.5082,  MIA accuracy: 0.5475,  MIA auc: 0.5669,  MIA recall: 0.6166, 
