Epoch [1/90],  U_d: -0.0384,  U_a: -1.0047,  test accuracy: 0.6808,  forget accuracy: 0.9928,  retain accuracy: 0.9967,  att accuracy: 0.4976,  MIA accuracy: 0.6985,  MIA auc: 0.7496,  MIA recall: 0.9268, 
Epoch [2/90],  U_d: -0.7777,  U_a: -1.0106,  test accuracy: 0.5756,  forget accuracy: 0.8024,  retain accuracy: 0.8822,  att accuracy: 0.4946,  MIA accuracy: 0.5983,  MIA auc: 0.6371,  MIA recall: 0.7116, 
Epoch [3/90],  U_d: -0.4977,  U_a: -1.0038,  test accuracy: 0.5786,  forget accuracy: 0.7504,  retain accuracy: 0.8639,  att accuracy: 0.4980,  MIA accuracy: 0.5685,  MIA auc: 0.6052,  MIA recall: 0.6458, 
Epoch [4/90],  U_d: -0.2174,  U_a: -1.0108,  test accuracy: 0.6002,  forget accuracy: 0.7660,  retain accuracy: 0.9050,  att accuracy: 0.4945,  MIA accuracy: 0.5770,  MIA auc: 0.6081,  MIA recall: 0.6518, 
Epoch [5/90],  U_d: -0.2336,  U_a: -1.0004,  test accuracy: 0.6224,  forget accuracy: 0.7654,  retain accuracy: 0.9241,  att accuracy: 0.4997,  MIA accuracy: 0.5727,  MIA auc: 0.5997,  MIA recall: 0.6512, 
Epoch [6/90],  U_d: -0.2424,  U_a: -0.9874,  test accuracy: 0.6274,  forget accuracy: 0.7956,  retain accuracy: 0.9502,  att accuracy: 0.5062,  MIA accuracy: 0.5783,  MIA auc: 0.6083,  MIA recall: 0.6766, 
Epoch [7/90],  U_d: -0.0635,  U_a: -0.9930,  test accuracy: 0.6328,  forget accuracy: 0.7918,  retain accuracy: 0.9627,  att accuracy: 0.5034,  MIA accuracy: 0.5732,  MIA auc: 0.6056,  MIA recall: 0.6690, 
Epoch [8/90],  U_d: -0.1261,  U_a: -0.9986,  test accuracy: 0.6244,  forget accuracy: 0.7790,  retain accuracy: 0.9564,  att accuracy: 0.5006,  MIA accuracy: 0.5750,  MIA auc: 0.6122,  MIA recall: 0.6666, 
Epoch [9/90],  U_d: -0.0770,  U_a: -1.0104,  test accuracy: 0.6176,  forget accuracy: 0.7670,  retain accuracy: 0.9506,  att accuracy: 0.4947,  MIA accuracy: 0.5628,  MIA auc: 0.5933,  MIA recall: 0.6642, 
Epoch [10/90],  U_d: -0.0208,  U_a: -1.0008,  test accuracy: 0.6162,  forget accuracy: 0.7676,  retain accuracy: 0.9499,  att accuracy: 0.4995,  MIA accuracy: 0.5657,  MIA auc: 0.5939,  MIA recall: 0.6486, 
Epoch [11/90],  U_d: -0.0183,  U_a: -0.9966,  test accuracy: 0.6160,  forget accuracy: 0.7510,  retain accuracy: 0.9451,  att accuracy: 0.5016,  MIA accuracy: 0.5554,  MIA auc: 0.5844,  MIA recall: 0.6408, 
Epoch [12/90],  U_d: -0.0498,  U_a: -1.0024,  test accuracy: 0.6086,  forget accuracy: 0.7476,  retain accuracy: 0.9452,  att accuracy: 0.4987,  MIA accuracy: 0.5597,  MIA auc: 0.5852,  MIA recall: 0.6458, 
Epoch [13/90],  U_d: -0.0789,  U_a: -1.0180,  test accuracy: 0.5940,  forget accuracy: 0.7260,  retain accuracy: 0.9297,  att accuracy: 0.4909,  MIA accuracy: 0.5504,  MIA auc: 0.5781,  MIA recall: 0.6146, 
Epoch [14/90],  U_d: -0.0507,  U_a: -0.9912,  test accuracy: 0.5898,  forget accuracy: 0.7064,  retain accuracy: 0.9243,  att accuracy: 0.5043,  MIA accuracy: 0.5512,  MIA auc: 0.5766,  MIA recall: 0.6178, 
Epoch [15/90],  U_d: -0.0443,  U_a: -1.0138,  test accuracy: 0.6052,  forget accuracy: 0.7314,  retain accuracy: 0.9434,  att accuracy: 0.4930,  MIA accuracy: 0.5567,  MIA auc: 0.5821,  MIA recall: 0.6216, 
Epoch [16/90],  U_d: -0.0726,  U_a: -1.0066,  test accuracy: 0.5978,  forget accuracy: 0.7122,  retain accuracy: 0.9388,  att accuracy: 0.4966,  MIA accuracy: 0.5498,  MIA auc: 0.5672,  MIA recall: 0.6154, 
Epoch [17/90],  U_d: -0.1540,  U_a: -1.0004,  test accuracy: 0.6006,  forget accuracy: 0.7124,  retain accuracy: 0.9388,  att accuracy: 0.4997,  MIA accuracy: 0.5518,  MIA auc: 0.5747,  MIA recall: 0.6090, 
Epoch [18/90],  U_d: -0.0517,  U_a: -0.9992,  test accuracy: 0.5834,  forget accuracy: 0.6892,  retain accuracy: 0.9228,  att accuracy: 0.5003,  MIA accuracy: 0.5415,  MIA auc: 0.5660,  MIA recall: 0.5978, 
Epoch [19/90],  U_d: -0.0568,  U_a: -0.9952,  test accuracy: 0.5796,  forget accuracy: 0.6736,  retain accuracy: 0.9075,  att accuracy: 0.5023,  MIA accuracy: 0.5428,  MIA auc: 0.5628,  MIA recall: 0.6036, 
Epoch [20/90],  U_d: -0.0470,  U_a: -1.0086,  test accuracy: 0.5804,  forget accuracy: 0.6714,  retain accuracy: 0.9203,  att accuracy: 0.4956,  MIA accuracy: 0.5480,  MIA auc: 0.5682,  MIA recall: 0.5932, 
Epoch [21/90],  U_d: -0.0362,  U_a: -0.9938,  test accuracy: 0.5790,  forget accuracy: 0.6698,  retain accuracy: 0.9204,  att accuracy: 0.5030,  MIA accuracy: 0.5334,  MIA auc: 0.5538,  MIA recall: 0.5790, 
Epoch [22/90],  U_d: -0.0754,  U_a: -1.0000,  test accuracy: 0.5870,  forget accuracy: 0.6678,  retain accuracy: 0.9296,  att accuracy: 0.4999,  MIA accuracy: 0.5333,  MIA auc: 0.5486,  MIA recall: 0.5868, 
Epoch [23/90],  U_d: -0.0915,  U_a: -0.9986,  test accuracy: 0.5896,  forget accuracy: 0.6698,  retain accuracy: 0.9411,  att accuracy: 0.5006,  MIA accuracy: 0.5348,  MIA auc: 0.5480,  MIA recall: 0.5846, 
Epoch [24/90],  U_d: -0.0631,  U_a: -1.0100,  test accuracy: 0.5810,  forget accuracy: 0.6626,  retain accuracy: 0.9274,  att accuracy: 0.4949,  MIA accuracy: 0.5336,  MIA auc: 0.5473,  MIA recall: 0.5738, 
Epoch [25/90],  U_d: -0.0411,  U_a: -1.0022,  test accuracy: 0.5816,  forget accuracy: 0.6644,  retain accuracy: 0.9355,  att accuracy: 0.4988,  MIA accuracy: 0.5319,  MIA auc: 0.5472,  MIA recall: 0.5736, 
Epoch [26/90],  U_d: -0.0254,  U_a: -1.0140,  test accuracy: 0.5662,  forget accuracy: 0.6448,  retain accuracy: 0.9252,  att accuracy: 0.4929,  MIA accuracy: 0.5303,  MIA auc: 0.5470,  MIA recall: 0.5624, 
Epoch [27/90],  U_d: -0.0452,  U_a: -0.9994,  test accuracy: 0.5678,  forget accuracy: 0.6468,  retain accuracy: 0.9202,  att accuracy: 0.5002,  MIA accuracy: 0.5259,  MIA auc: 0.5451,  MIA recall: 0.5666, 
Epoch [28/90],  U_d: -0.1094,  U_a: -0.9914,  test accuracy: 0.5606,  forget accuracy: 0.6216,  retain accuracy: 0.9005,  att accuracy: 0.5042,  MIA accuracy: 0.5330,  MIA auc: 0.5415,  MIA recall: 0.5700, 
Epoch [29/90],  U_d: -0.0822,  U_a: -1.0126,  test accuracy: 0.5692,  forget accuracy: 0.6348,  retain accuracy: 0.9152,  att accuracy: 0.4936,  MIA accuracy: 0.5318,  MIA auc: 0.5434,  MIA recall: 0.5496, 
Epoch [30/90],  U_d: -0.0972,  U_a: -0.9878,  test accuracy: 0.5586,  forget accuracy: 0.6190,  retain accuracy: 0.9019,  att accuracy: 0.5060,  MIA accuracy: 0.5305,  MIA auc: 0.5442,  MIA recall: 0.5612, 
Epoch [31/90],  U_d: -0.1175,  U_a: -0.9998,  test accuracy: 0.5686,  forget accuracy: 0.6352,  retain accuracy: 0.9294,  att accuracy: 0.5000,  MIA accuracy: 0.5243,  MIA auc: 0.5408,  MIA recall: 0.5554, 
Epoch [32/90],  U_d: -0.0583,  U_a: -0.9940,  test accuracy: 0.5492,  forget accuracy: 0.6146,  retain accuracy: 0.8906,  att accuracy: 0.5029,  MIA accuracy: 0.5263,  MIA auc: 0.5351,  MIA recall: 0.5520, 
Epoch [33/90],  U_d: -0.1436,  U_a: -1.0112,  test accuracy: 0.5400,  forget accuracy: 0.5916,  retain accuracy: 0.8654,  att accuracy: 0.4943,  MIA accuracy: 0.5245,  MIA auc: 0.5321,  MIA recall: 0.5444, 
Epoch [34/90],  U_d: -0.1059,  U_a: -0.9968,  test accuracy: 0.5524,  forget accuracy: 0.6016,  retain accuracy: 0.8980,  att accuracy: 0.5015,  MIA accuracy: 0.5189,  MIA auc: 0.5303,  MIA recall: 0.5450, 
Epoch [35/90],  U_d: -0.1359,  U_a: -1.0194,  test accuracy: 0.5496,  forget accuracy: 0.6000,  retain accuracy: 0.9031,  att accuracy: 0.4902,  MIA accuracy: 0.5245,  MIA auc: 0.5312,  MIA recall: 0.5570, 
Epoch [36/90],  U_d: -0.0501,  U_a: -1.0140,  test accuracy: 0.5466,  forget accuracy: 0.6052,  retain accuracy: 0.9015,  att accuracy: 0.4929,  MIA accuracy: 0.5310,  MIA auc: 0.5400,  MIA recall: 0.5554, 
Epoch [37/90],  U_d: -0.0757,  U_a: -0.9958,  test accuracy: 0.5468,  forget accuracy: 0.5942,  retain accuracy: 0.8947,  att accuracy: 0.5020,  MIA accuracy: 0.5376,  MIA auc: 0.5421,  MIA recall: 0.5482, 
Epoch [38/90],  U_d: -0.0634,  U_a: -0.9824,  test accuracy: 0.5230,  forget accuracy: 0.5808,  retain accuracy: 0.8651,  att accuracy: 0.5087,  MIA accuracy: 0.5161,  MIA auc: 0.5157,  MIA recall: 0.5292, 
Epoch [39/90],  U_d: -0.0296,  U_a: -1.0064,  test accuracy: 0.5396,  forget accuracy: 0.5926,  retain accuracy: 0.8880,  att accuracy: 0.4967,  MIA accuracy: 0.5275,  MIA auc: 0.5359,  MIA recall: 0.5394, 
Epoch [40/90],  U_d: -0.1518,  U_a: -0.9902,  test accuracy: 0.5256,  forget accuracy: 0.5752,  retain accuracy: 0.8664,  att accuracy: 0.5048,  MIA accuracy: 0.5144,  MIA auc: 0.5210,  MIA recall: 0.5248, 
Epoch [41/90],  U_d: -0.0948,  U_a: -0.9944,  test accuracy: 0.5444,  forget accuracy: 0.5918,  retain accuracy: 0.8943,  att accuracy: 0.5027,  MIA accuracy: 0.5313,  MIA auc: 0.5377,  MIA recall: 0.5446, 
Epoch [42/90],  U_d: -0.0970,  U_a: -1.0126,  test accuracy: 0.5224,  forget accuracy: 0.5604,  retain accuracy: 0.8531,  att accuracy: 0.4936,  MIA accuracy: 0.5129,  MIA auc: 0.5220,  MIA recall: 0.5206, 
Epoch [43/90],  U_d: -0.0938,  U_a: -0.9930,  test accuracy: 0.5338,  forget accuracy: 0.5666,  retain accuracy: 0.8701,  att accuracy: 0.5034,  MIA accuracy: 0.5228,  MIA auc: 0.5310,  MIA recall: 0.5404, 
Epoch [44/90],  U_d: -0.1043,  U_a: -0.9930,  test accuracy: 0.5310,  forget accuracy: 0.5742,  retain accuracy: 0.8837,  att accuracy: 0.5034,  MIA accuracy: 0.5169,  MIA auc: 0.5257,  MIA recall: 0.5286, 
Epoch [45/90],  U_d: -0.1143,  U_a: -0.9960,  test accuracy: 0.5402,  forget accuracy: 0.5810,  retain accuracy: 0.9026,  att accuracy: 0.5019,  MIA accuracy: 0.5199,  MIA auc: 0.5294,  MIA recall: 0.5226, 
Epoch [46/90],  U_d: -0.0824,  U_a: -0.9950,  test accuracy: 0.5152,  forget accuracy: 0.5608,  retain accuracy: 0.8536,  att accuracy: 0.5024,  MIA accuracy: 0.5150,  MIA auc: 0.5251,  MIA recall: 0.5212, 
Epoch [47/90],  U_d: -0.1567,  U_a: -1.0078,  test accuracy: 0.5160,  forget accuracy: 0.5490,  retain accuracy: 0.8565,  att accuracy: 0.4960,  MIA accuracy: 0.5126,  MIA auc: 0.5210,  MIA recall: 0.5074, 
Epoch [48/90],  U_d: -0.0685,  U_a: -1.0028,  test accuracy: 0.5084,  forget accuracy: 0.5448,  retain accuracy: 0.8564,  att accuracy: 0.4985,  MIA accuracy: 0.5153,  MIA auc: 0.5238,  MIA recall: 0.5090, 
Epoch [49/90],  U_d: -0.0429,  U_a: -1.0052,  test accuracy: 0.5130,  forget accuracy: 0.5464,  retain accuracy: 0.8530,  att accuracy: 0.4973,  MIA accuracy: 0.5158,  MIA auc: 0.5178,  MIA recall: 0.5096, 
Epoch [50/90],  U_d: -0.0724,  U_a: -0.9882,  test accuracy: 0.5182,  forget accuracy: 0.5562,  retain accuracy: 0.8668,  att accuracy: 0.5058,  MIA accuracy: 0.5249,  MIA auc: 0.5302,  MIA recall: 0.5270, 
