Epoch [1/90],  U_d: -0.0447,  U_a: -1.0171,  test accuracy: 0.6810,  forget accuracy: 0.9940,  retain accuracy: 0.9965,  att accuracy: 0.4914,  MIA accuracy: 0.7062,  MIA auc: 0.7603,  MIA recall: 0.9446, 
Epoch [2/90],  U_d: -0.7223,  U_a: -0.9890,  test accuracy: 0.5936,  forget accuracy: 0.8112,  retain accuracy: 0.8894,  att accuracy: 0.5054,  MIA accuracy: 0.6003,  MIA auc: 0.6354,  MIA recall: 0.7042, 
Epoch [3/90],  U_d: -0.4851,  U_a: -0.9934,  test accuracy: 0.5884,  forget accuracy: 0.7770,  retain accuracy: 0.8921,  att accuracy: 0.5032,  MIA accuracy: 0.5810,  MIA auc: 0.6097,  MIA recall: 0.6688, 
Epoch [4/90],  U_d: -0.2451,  U_a: -1.0026,  test accuracy: 0.5916,  forget accuracy: 0.7672,  retain accuracy: 0.9007,  att accuracy: 0.4986,  MIA accuracy: 0.5814,  MIA auc: 0.6153,  MIA recall: 0.6706, 
Epoch [5/90],  U_d: -0.5307,  U_a: -1.0126,  test accuracy: 0.5862,  forget accuracy: 0.7378,  retain accuracy: 0.8868,  att accuracy: 0.4936,  MIA accuracy: 0.5612,  MIA auc: 0.5868,  MIA recall: 0.6492, 
Epoch [6/90],  U_d: -0.1122,  U_a: -1.0020,  test accuracy: 0.6264,  forget accuracy: 0.8052,  retain accuracy: 0.9536,  att accuracy: 0.4989,  MIA accuracy: 0.5835,  MIA auc: 0.6090,  MIA recall: 0.7064, 
Epoch [7/90],  U_d: -0.2489,  U_a: -0.9920,  test accuracy: 0.6228,  forget accuracy: 0.7996,  retain accuracy: 0.9584,  att accuracy: 0.5039,  MIA accuracy: 0.5714,  MIA auc: 0.6017,  MIA recall: 0.6956, 
Epoch [8/90],  U_d: -0.0421,  U_a: -1.0060,  test accuracy: 0.6276,  forget accuracy: 0.7896,  retain accuracy: 0.9605,  att accuracy: 0.4969,  MIA accuracy: 0.5686,  MIA auc: 0.5928,  MIA recall: 0.6838, 
Epoch [9/90],  U_d: -0.0279,  U_a: -1.0180,  test accuracy: 0.6324,  forget accuracy: 0.7980,  retain accuracy: 0.9653,  att accuracy: 0.4909,  MIA accuracy: 0.5758,  MIA auc: 0.5948,  MIA recall: 0.6850, 
Epoch [10/90],  U_d: -0.0519,  U_a: -0.9948,  test accuracy: 0.6154,  forget accuracy: 0.7760,  retain accuracy: 0.9490,  att accuracy: 0.5025,  MIA accuracy: 0.5761,  MIA auc: 0.5947,  MIA recall: 0.6774, 
Epoch [11/90],  U_d: -0.1973,  U_a: -0.9830,  test accuracy: 0.6026,  forget accuracy: 0.7474,  retain accuracy: 0.9326,  att accuracy: 0.5084,  MIA accuracy: 0.5604,  MIA auc: 0.5843,  MIA recall: 0.6534, 
Epoch [12/90],  U_d: -0.1093,  U_a: -1.0000,  test accuracy: 0.6100,  forget accuracy: 0.7588,  retain accuracy: 0.9476,  att accuracy: 0.4999,  MIA accuracy: 0.5730,  MIA auc: 0.5952,  MIA recall: 0.6646, 
Epoch [13/90],  U_d: -0.1313,  U_a: -0.9964,  test accuracy: 0.6218,  forget accuracy: 0.7704,  retain accuracy: 0.9583,  att accuracy: 0.5017,  MIA accuracy: 0.5584,  MIA auc: 0.5788,  MIA recall: 0.6574, 
Epoch [14/90],  U_d: -0.0517,  U_a: -1.0046,  test accuracy: 0.6064,  forget accuracy: 0.7440,  retain accuracy: 0.9448,  att accuracy: 0.4976,  MIA accuracy: 0.5601,  MIA auc: 0.5790,  MIA recall: 0.6596, 
Epoch [15/90],  U_d: -0.1061,  U_a: -0.9900,  test accuracy: 0.6074,  forget accuracy: 0.7392,  retain accuracy: 0.9507,  att accuracy: 0.5049,  MIA accuracy: 0.5635,  MIA auc: 0.5860,  MIA recall: 0.6522, 
Epoch [16/90],  U_d: -0.1087,  U_a: -1.0008,  test accuracy: 0.5902,  forget accuracy: 0.7106,  retain accuracy: 0.9194,  att accuracy: 0.4995,  MIA accuracy: 0.5462,  MIA auc: 0.5616,  MIA recall: 0.6298, 
Epoch [17/90],  U_d: -0.0500,  U_a: -1.0014,  test accuracy: 0.5910,  forget accuracy: 0.7104,  retain accuracy: 0.9292,  att accuracy: 0.4992,  MIA accuracy: 0.5586,  MIA auc: 0.5728,  MIA recall: 0.6334, 
Epoch [18/90],  U_d: -0.1090,  U_a: -0.9888,  test accuracy: 0.5874,  forget accuracy: 0.7072,  retain accuracy: 0.9270,  att accuracy: 0.5055,  MIA accuracy: 0.5505,  MIA auc: 0.5714,  MIA recall: 0.6162, 
Epoch [19/90],  U_d: -0.0550,  U_a: -1.0062,  test accuracy: 0.5998,  forget accuracy: 0.7008,  retain accuracy: 0.9357,  att accuracy: 0.4968,  MIA accuracy: 0.5428,  MIA auc: 0.5569,  MIA recall: 0.6060, 
Epoch [20/90],  U_d: -0.1269,  U_a: -0.9880,  test accuracy: 0.5872,  forget accuracy: 0.6866,  retain accuracy: 0.9196,  att accuracy: 0.5059,  MIA accuracy: 0.5419,  MIA auc: 0.5621,  MIA recall: 0.5996, 
